text,label
"Congratulations you won a lottery prize of 50000 rupees click here",1
"Your bank account will be blocked verify your details immediately",1
"Urgent update your KYC information now",1
"You have received a reward claim your money today",1
"Your PayPal account security alert login immediately",1
"Click this link to receive free gift card",1
"Your card is suspended confirm your password",1
"Limited offer claim your prize now",1
"Your account has suspicious activity verify now",1
"Send OTP and bank details to receive refund",1
"Your Amazon account needs verification click link",1
"Meeting scheduled tomorrow at 10 AM",0
"Your electricity bill has been generated",0
"Your order has been delivered successfully",0
"Please submit your assignment before Friday",0
"Your interview is scheduled tomorrow",0
"Reminder: project review at 3 PM",0
"Your monthly statement is available",0
"Happy birthday wishes from your friend",0
"College timetable has been updated",0
"Your OTP is 123456 do not share",0
